score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.57421875,0.9600813,5800.0,160.0,2.0,3,4test,3,5,BNCI2014-004,MDM
0.8625,0.95723814,5800.0,120.0,2.0,1,0train,3,5,BNCI2014-004,MDM
0.6969444,0.95723814,5800.0,120.0,2.0,1,1train,3,5,BNCI2014-004,MDM
0.846875,0.95723814,5800.0,160.0,2.0,1,2train,3,5,BNCI2014-004,MDM
0.8765625,0.95723814,5800.0,160.0,2.0,1,3test,3,5,BNCI2014-004,MDM
0.74328125,0.95723814,5800.0,160.0,2.0,1,4test,3,5,BNCI2014-004,MDM
0.70416665,0.99996144,5840.0,120.0,2.0,2,0train,3,5,BNCI2014-004,MDM
0.57222223,0.99996144,5840.0,120.0,2.0,2,1train,3,5,BNCI2014-004,MDM
0.61578125,0.99996144,5840.0,160.0,2.0,2,2train,3,5,BNCI2014-004,MDM
0.63166666,0.99996144,5840.0,120.0,2.0,2,3test,3,5,BNCI2014-004,MDM
0.5984375,0.99996144,5840.0,160.0,2.0,2,4test,3,5,BNCI2014-004,MDM
0.6184375,0.9228044,5760.0,160.0,2.0,8,0train,3,5,BNCI2014-004,CSP+LDA
0.67194444,0.9228044,5760.0,120.0,2.0,8,1train,3,5,BNCI2014-004,CSP+LDA
0.92515624,0.9228044,5760.0,160.0,2.0,8,2train,3,5,BNCI2014-004,CSP+LDA
0.9290625,0.9228044,5760.0,160.0,2.0,8,3test,3,5,BNCI2014-004,CSP+LDA
0.9715625,0.9228044,5760.0,160.0,2.0,8,4test,3,5,BNCI2014-004,CSP+LDA
0.64694446,0.9166987,5780.0,120.0,2.0,5,0train,3,5,BNCI2014-004,CSP+LDA
0.80387753,0.9166987,5780.0,140.0,2.0,5,1train,3,5,BNCI2014-004,CSP+LDA
0.94875,0.9166987,5780.0,160.0,2.0,5,2train,3,5,BNCI2014-004,CSP+LDA
0.938125,0.9166987,5780.0,160.0,2.0,5,3test,3,5,BNCI2014-004,CSP+LDA
0.8215625,0.9166987,5780.0,160.0,2.0,5,4test,3,5,BNCI2014-004,CSP+LDA
0.94555557,0.9022247,5780.0,120.0,2.0,4,0train,3,5,BNCI2014-004,CSP+LDA
0.93265307,0.9022247,5780.0,140.0,2.0,4,1train,3,5,BNCI2014-004,CSP+LDA
0.999375,0.9022247,5780.0,160.0,2.0,4,2train,3,5,BNCI2014-004,CSP+LDA
0.99640626,0.9022247,5780.0,160.0,2.0,4,3test,3,5,BNCI2014-004,CSP+LDA
0.9834375,0.9022247,5780.0,160.0,2.0,4,4test,3,5,BNCI2014-004,CSP+LDA
0.7316667,0.9100712,5800.0,120.0,2.0,9,0train,3,5,BNCI2014-004,CSP+LDA
0.6747222,0.9100712,5800.0,120.0,2.0,9,1train,3,5,BNCI2014-004,CSP+LDA
0.91203123,0.9100712,5800.0,160.0,2.0,9,2train,3,5,BNCI2014-004,CSP+LDA
0.9421875,0.9100712,5800.0,160.0,2.0,9,3test,3,5,BNCI2014-004,CSP+LDA
0.89140624,0.9100712,5800.0,160.0,2.0,9,4test,3,5,BNCI2014-004,CSP+LDA
0.6577778,0.90144354,5800.0,120.0,2.0,7,0train,3,5,BNCI2014-004,CSP+LDA
0.60444444,0.90144354,5800.0,120.0,2.0,7,1train,3,5,BNCI2014-004,CSP+LDA
0.88875,0.90144354,5800.0,160.0,2.0,7,2train,3,5,BNCI2014-004,CSP+LDA
0.7603125,0.90144354,5800.0,160.0,2.0,7,3test,3,5,BNCI2014-004,CSP+LDA
0.845625,0.90144354,5800.0,160.0,2.0,7,4test,3,5,BNCI2014-004,CSP+LDA
0.87833333,0.9094825,5800.0,120.0,2.0,6,0train,3,5,BNCI2014-004,CSP+LDA
0.8169444,0.9094825,5800.0,120.0,2.0,6,1train,3,5,BNCI2014-004,CSP+LDA
0.855625,0.9094825,5800.0,160.0,2.0,6,2train,3,5,BNCI2014-004,CSP+LDA
0.9359375,0.9094825,5800.0,160.0,2.0,6,3test,3,5,BNCI2014-004,CSP+LDA
0.94859374,0.9094825,5800.0,160.0,2.0,6,4test,3,5,BNCI2014-004,CSP+LDA
0.62722224,0.90878963,5800.0,120.0,2.0,3,0train,3,5,BNCI2014-004,CSP+LDA
0.6205556,0.90878963,5800.0,120.0,2.0,3,1train,3,5,BNCI2014-004,CSP+LDA
0.5290625,0.90878963,5800.0,160.0,2.0,3,2train,3,5,BNCI2014-004,CSP+LDA
0.60046875,0.90878963,5800.0,160.0,2.0,3,3test,3,5,BNCI2014-004,CSP+LDA
0.6025,0.90878963,5800.0,160.0,2.0,3,4test,3,5,BNCI2014-004,CSP+LDA
0.88277775,0.9076977,5800.0,120.0,2.0,1,0train,3,5,BNCI2014-004,CSP+LDA
0.7158333,0.9076977,5800.0,120.0,2.0,1,1train,3,5,BNCI2014-004,CSP+LDA
0.8496875,0.9076977,5800.0,160.0,2.0,1,2train,3,5,BNCI2014-004,CSP+LDA
0.89015627,0.9076977,5800.0,160.0,2.0,1,3test,3,5,BNCI2014-004,CSP+LDA
0.7604687,0.9076977,5800.0,160.0,2.0,1,4test,3,5,BNCI2014-004,CSP+LDA
0.7108333,0.9667317,5840.0,120.0,2.0,2,0train,3,5,BNCI2014-004,CSP+LDA
0.59,0.9667317,5840.0,120.0,2.0,2,1train,3,5,BNCI2014-004,CSP+LDA
0.6390625,0.9667317,5840.0,160.0,2.0,2,2train,3,5,BNCI2014-004,CSP+LDA
0.61444443,0.9667317,5840.0,120.0,2.0,2,3test,3,5,BNCI2014-004,CSP+LDA
0.596875,0.9667317,5840.0,160.0,2.0,2,4test,3,5,BNCI2014-004,CSP+LDA
0.61796874,1.3155044,5760.0,160.0,2.0,8,0train,3,5,BNCI2014-004,TS+SVM
0.6533333,1.3155044,5760.0,120.0,2.0,8,1train,3,5,BNCI2014-004,TS+SVM
0.9195312,1.3155044,5760.0,160.0,2.0,8,2train,3,5,BNCI2014-004,TS+SVM
0.929375,1.3155044,5760.0,160.0,2.0,8,3test,3,5,BNCI2014-004,TS+SVM
0.9725,1.3155044,5760.0,160.0,2.0,8,4test,3,5,BNCI2014-004,TS+SVM
0.665,1.2964101,5780.0,120.0,2.0,5,0train,3,5,BNCI2014-004,TS+SVM
